id,state,dateupto,url,status,total,created_at,updated_at
,andaman And Nicobar Islands,Upto 31st March 2021,19a67de6-5fad-436b-93e4-d608422b7fdf,,,,
,Lakshadweep,Upto 31st March 2021,7ea10a5b-4b29-45c7-9604-397074a7bcb9,,,,
,Kerala,Upto 31st March 2021,ba7eb197-5336-4d15-b35f-0a976311456e,,,,
,Rajasthan,Upto 31st March 2021,53d57616-e512-48ff-9200-8298472efe47,,,,
,Dadra And Nagra Haveli,Upto 31st March 2021,95bb4dac-f9f8-4c08-8796-d410cdc8fb66,,,,
,Leh And Ladakh,Upto 31st March 2021,5f46a09e-7e75-4724-90e0-b5531fcfbcaf,,,,
,Punjab,Upto 31st March 2021,b72a91d1-5dd1-4f8d-bddd-12ba5ed50fd9,,,,
,Haryana,Upto 31st March 2021,a40f69a2-e230-4c84-b44a-7a00981cb736,,,,
,Mizoram,Upto 31st March 2021,87f853c6-59ee-41dd-aaa2-2fbdfb660ced,,,,
,Nagaland,Upto 31st March 2021,234a3beb-d519-4941-8263-6fbbedc6cc46,,,,
,Sikkim,Upto 31st March 2021,9c3b10c4-89cf-4134-929b-a0f4f9864bb9,,,,
,Bihar,Upto 31st March 2021,5946885d-05cf-44d3-bf81-ecc519a891c6,,,,
,Chandigarh,Upto 31st March 2021,5c3532e6-b8f8-4830-b87b-f24afdb0fcda,,,,
,Uttar Pradesh,Upto 31st March 2021,7620611c-ed65-493f-8eb7-39aabcb338e1,,,,
,Assam,Upto 31st March 2021,87e273ab-e378-4184-98bd-ece0802fa000,,,,
,Gujarat ,Upto 31st March 2021,0bd2c054-87d4-4b58-b134-cedd3d182d10,,,,
,Tamil Nadu,Upto 31st March 2021,ef3e8c06-9543-41a1-a46b-84055ff6c2cc ,,,,
,Karnataka,Upto 31st March 2021,77cdb9fb-a407-432b-881d-33d02074a6eb,,,,
,Telangana,Upto 31st March 2021,f82d4ab1-2af8-429a-b650-7858f79b1f16,,,,
,Himachal Pradesh,Upto 31st March 2021,4d075fd9-a025-42e4-b922-9ee15c4d5fdc,,,,
,Uttarakhand,Upto 31st March 2021,6747de29-2aae-48a0-8c77-b67a870229ab ,,,,
,Chhattisgarh,Upto 31st March 2021,19a67de6-5fad-436b-93e4-d608422b7fdf,,,,
,Jharkhand,Upto 31st March 2021,a07841e7-0753-4937-b9f7-d84362dd4543 ,,,,
,Madhya Pradesh,Upto 31st March 2021,480a2f7b-28a3-4b9b-beac-cdb3b33e9673 ,,,,
,West Bengal ,Upto 31st March 2021,d1302dba-c522-415d-90f3-8f3032192f8b ,,,,
,Maharashtra,Upto 31st March 2021,b83e1bfa-14a6-4ac1-8ce2-3f74b82a0a5d,,,,
,Arunachal Pradesh,Upto 31st March 2021,29e6915c-9115-496a-83a5-82f9c396bedd ,,,,
,Andhra Pradesh,Upto 31st March 2021,33f1e3bd-ffb8-4f69-a8b3-154bbbd0b476,,,,
,Meghalaya,Upto 31st March 2021,249898f0-3628-4be5-888a-b28f7c872382 ,,,,
,Manipur,Upto 31st March 2021,77321393-8095-4a46-a5db-8dfacfe9beca ,,,,
,Tripura,Upto 31st March 2021,a60d55c7-c89f-4a9e-aa72-886ac88d4a1b,,,,
,Puducherry,Upto 31st March 2021,f2416803-1cb3-4331-9b20-5876657ad86e,,,,
,Odisha,Upto 31st March 2021,b24e7923-53e5-4dec-93da-fcec7a25662c ,,,,
,Goa,Upto 31st March 2021,648b0b30-4a17-4fde-b7ba-bd8f7d822cee ,,,,
,Jammu And Kashmir,Upto 31st March 2021,b95d1d2f-29cc-410f-861d-7ebe9d4b22b1 ,,,,
,Daman And Diu,Upto 31st March 2021,7389012a-9fca-41ab-91b7-b52dd34103b3 ,,,,
